,0,1,2
784,MA5,Slow%D,DownDI
785,MA5,Slow%D,MFI
786,MA5,Slow%D,Momentum
787,MA5,Slow%D,Sonar
788,MA5,Slow%D,Sonar_sig5
789,MA5,Slow%D,STDEV
790,MA5,Slow%D,Sigma
791,MA5,Slow%D,TRIX
792,MA5,Slow%D,VR
793,MA5,Slow%D,WILLR
794,MA5,Slow%D,Psy
795,MA5,Slow%D,Disparity20
796,MA5,Slow%D,Disparity60
797,MA5,Slow%D,ADX
798,MA5,Slow%D,ADOSC
799,MA5,Slow%D,Volume_OSC
800,MA5,Slow%D,upperband
801,MA5,Slow%D,middleband
802,MA5,Slow%D,lowerband
803,MA5,RSI14,RSI signal
804,MA5,RSI14,CCI
805,MA5,RSI14,A_Ratio
806,MA5,RSI14,B_Ratio
807,MA5,RSI14,ATR
808,MA5,RSI14,UpDI
809,MA5,RSI14,DownDI
810,MA5,RSI14,MFI
