class,return,rb_count,resid_diff,out_multiple,rebalance_weight
neu,233.22892775907522,71,15,0.5,0.4
deff,189.0829069137572,78,15,0.5,0.4
att,340.0747951506604,43,15,0.5,0.5
neu,225.0603117035863,71,15,0.5,0.5
deff,180.11083498201293,78,15,0.5,0.5
att,335.19196300954695,43,15,0.5,0.6
neu,217.52686133689878,71,15,0.5,0.6
deff,172.61690812072501,78,15,0.5,0.6
att,330.97594647207336,43,15,0.5,0.7
neu,210.43907987556378,71,15,0.5,0.7
deff,166.3868891993514,78,15,0.5,0.7
att,327.7953834464099,43,15,0.5,0.8
neu,203.7026327517499,71,15,0.5,0.8
deff,161.20315321674394,78,15,0.5,0.8
att,325.7731771625531,43,15,0.5,0.9
neu,197.2136232367518,71,15,0.5,0.9
deff,156.95418002119075,78,15,0.5,0.9
att,354.21843281192804,35,15,0.6,0.1
neu,269.2989205574055,57,15,0.6,0.1
deff,227.78845266637813,82,15,0.6,0.1
att,368.6652209942811,35,15,0.6,0.2
neu,258.93934863948914,57,15,0.6,0.2
deff,211.0700389456739,82,15,0.6,0.2
att,380.89729663019244,35,15,0.6,0.3
neu,252.30665839624334,57,15,0.6,0.3
deff,198.04974377517723,82,15,0.6,0.3
att,390.9486465646738,35,15,0.6,0.4
neu,247.5412126576409,57,15,0.6,0.4
deff,187.48607652034767,82,15,0.6,0.4
att,398.9832850435262,35,15,0.6,0.5
neu,243.65746650304723,57,15,0.6,0.5
deff,178.73338114967433,82,15,0.6,0.5
att,405.1458173256864,35,15,0.6,0.6
neu,240.18955183467799,57,15,0.6,0.6
deff,171.34607240085649,82,15,0.6,0.6
att,409.6627019639,35,15,0.6,0.7
neu,236.99959960603547,57,15,0.6,0.7
deff,165.06723922500615,82,15,0.6,0.7
att,412.71390463886326,35,15,0.6,0.8
neu,234.1110547093385,57,15,0.6,0.8
deff,159.66139557809842,82,15,0.6,0.8
att,414.5664076838481,35,15,0.6,0.9
neu,231.70031591768316,57,15,0.6,0.9
deff,154.96174746131936,82,15,0.6,0.9
att,356.9684688974388,23,15,0.8,0.1
neu,288.4325906702044,40,15,0.8,0.1
deff,237.1399360619545,50,15,0.8,0.1
att,371.93149485511753,23,15,0.8,0.2
neu,290.6588935923579,40,15,0.8,0.2
deff,230.56343247900043,50,15,0.8,0.2
att,383.8824369983655,23,15,0.8,0.3
neu,293.2427620669361,40,15,0.8,0.3
deff,226.45701903839156,50,15,0.8,0.3
att,393.6242839164727,23,15,0.8,0.4
neu,295.8663884652133,40,15,0.8,0.4
deff,223.38335191764733,50,15,0.8,0.4
att,401.7378515754699,23,15,0.8,0.5
neu,298.283043197345,40,15,0.8,0.5
deff,220.6615054728504,50,15,0.8,0.5
att,408.70129687328165,23,15,0.8,0.6
neu,300.28073460941596,40,15,0.8,0.6
deff,218.000341642284,50,15,0.8,0.6
att,414.86834494495395,23,15,0.8,0.7
neu,301.694193369387,40,15,0.8,0.7
deff,215.30832083797452,50,15,0.8,0.7
att,420.416109171294,23,15,0.8,0.8
neu,302.40171226701744,40,15,0.8,0.8
deff,212.60283101434638,50,15,0.8,0.8
att,425.3725749187443,23,15,0.8,0.9
neu,302.30997494812016,40,15,0.8,0.9
deff,209.9153618287088,50,15,0.8,0.9
att,353.9673730300889,19,15,0.9,0.1
neu,292.9624194392224,31,15,0.9,0.1
deff,241.84802499876034,44,15,0.9,0.1
att,367.6365271003709,19,15,0.9,0.2
neu,297.0489712297447,31,15,0.9,0.2
deff,237.19639481630227,44,15,0.9,0.2
att,379.3220730485894,19,15,0.9,0.3
neu,299.70874564695214,31,15,0.9,0.3
deff,235.7252428578378,44,15,0.9,0.3
att,388.98045179157145,19,15,0.9,0.4
neu,301.14710816154616,31,15,0.9,0.4
deff,236.2201003518105,44,15,0.9,0.4
att,396.5031194066987,19,15,0.9,0.5
neu,301.6927608328816,31,15,0.9,0.5
deff,237.84898721466055,44,15,0.9,0.5
att,401.9172528470964,19,15,0.9,0.6
neu,301.5648767971044,31,15,0.9,0.6
deff,240.13149677686766,44,15,0.9,0.6
att,405.1803323261265,19,15,0.9,0.7
neu,301.0575414969444,31,15,0.9,0.7
deff,242.69593903141168,44,15,0.9,0.7
att,406.2944755380585,19,15,0.9,0.8
neu,300.3194380476957,31,15,0.9,0.8
deff,245.32084936761802,44,15,0.9,0.8
att,405.2852065189354,19,15,0.9,0.9
neu,299.65002720174977,31,15,0.9,0.9
deff,247.92362558918026,44,15,0.9,0.9
att,348.4621756026269,59,20,0.2,0.1
neu,283.36799789876886,74,20,0.2,0.1
deff,235.46713378210066,68,20,0.2,0.1
att,355.8543863136295,59,20,0.2,0.2
neu,280.1254946122172,74,20,0.2,0.2
deff,227.43916354999553,68,20,0.2,0.2
att,359.79313571528957,59,20,0.2,0.3
neu,277.41281236658074,74,20,0.2,0.3
deff,222.57953643598634,68,20,0.2,0.3
att,361.2780062205304,59,20,0.2,0.4
neu,274.626830928039,74,20,0.2,0.4
deff,219.28436333484512,68,20,0.2,0.4
att,361.1272166175834,59,20,0.2,0.5
neu,271.3426346841793,74,20,0.2,0.5
deff,216.7612431057943,68,20,0.2,0.5
att,359.9672122809404,59,20,0.2,0.6
neu,267.2888404221542,74,20,0.2,0.6
deff,214.63328633699348,68,20,0.2,0.6
att,358.295079859733,59,20,0.2,0.7
neu,262.359673701857,74,20,0.2,0.7
deff,212.76957674465206,68,20,0.2,0.7
att,356.4694967849737,59,20,0.2,0.8
neu,256.48624193573124,74,20,0.2,0.8
deff,211.171954059314,68,20,0.2,0.8
att,354.71253962669533,59,20,0.2,0.9
neu,249.67818580226802,74,20,0.2,0.9
deff,209.777741746903,68,20,0.2,0.9
att,357.04089324140676,59,20,0.3,0.1
neu,279.2822781350131,77,20,0.3,0.1
deff,241.60911287851334,68,20,0.3,0.1
att,371.9079590806947,59,20,0.3,0.2
neu,269.4438092439657,77,20,0.3,0.2
deff,235.4275585663809,68,20,0.3,0.2
att,385.40688375215615,59,20,0.3,0.3
neu,260.918203383827,77,20,0.3,0.3
deff,230.55538063068454,68,20,0.3,0.3
att,399.55623992328566,59,20,0.3,0.4
neu,253.853177102278,77,20,0.3,0.4
deff,226.57596349725586,68,20,0.3,0.4
att,415.35409665250796,59,20,0.3,0.5
neu,248.1157038631448,77,20,0.3,0.5
deff,223.15689825887534,68,20,0.3,0.5
att,433.1205953207019,59,20,0.3,0.6
neu,243.4048772830968,77,20,0.3,0.6
deff,220.18847967529325,68,20,0.3,0.6
att,452.7646216153145,59,20,0.3,0.7
neu,239.4445991250994,77,20,0.3,0.7
deff,217.54126011533722,68,20,0.3,0.7
att,474.01274406967127,59,20,0.3,0.8
neu,236.02482525749224,77,20,0.3,0.8
deff,215.2323363552079,68,20,0.3,0.8
att,496.2693604979529,59,20,0.3,0.9
neu,233.0358744098667,77,20,0.3,0.9
deff,213.2315120368966,68,20,0.3,0.9
att,359.91811383724263,55,20,0.4,0.1
neu,282.8153271796219,69,20,0.4,0.1
deff,248.8914639143938,70,20,0.4,0.1
att,375.8080957712168,55,20,0.4,0.2
neu,276.82103791856827,69,20,0.4,0.2
deff,244.2780516541481,70,20,0.4,0.2
att,384.7523704703333,55,20,0.4,0.3
neu,270.1156121970178,69,20,0.4,0.3
deff,237.52833483467202,70,20,0.4,0.3
